id;relation;mots;mots_rel;Label
467;(('EG', 'ET'), ('case',));('vue', 'mer');('mer', 'vue');1
468;(('ET', 'ET', 'EG'), ('nmod', 'nmod'));('panorama', 'dégagé', 'avec', 'vue', 'sur', 'le', 'village');('panorama', 'vue', 'village');0
469;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'le', 'village');('vue', 'village');1
470;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'sur', 'le', 'village', 'et', 'collines');('vue', 'village', 'collines');1
471;(('ET', 'EG'), ('nmod',));('Proche', 'écoles');('Proche', 'écoles');1
472;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proche', 'écoles', ',', 'commerces');('Proche', 'écoles', 'commerces');1
473;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proche', 'écoles', ',', 'commerces', 'et', 'transports');('Proche', 'écoles', 'transports');1
474;(('EG', 'ET'), ('nmod',));('Arrêt de bus', 'à', 'le', 'pied');('Arrêt de bus', 'pied');1
475;(('EG', 'ET'), ('nmod',));('Tramway ligne 2', 'et', 'bus', 'à', '150', 'm');('Tramway ligne 2', 'm');1
476;(('EG', 'ET'), ('nmod',));('commerces', 'à', '2', 'minutes');('commerces', 'minutes');1
477;(('EG', 'ET'), ('nmod',));('Promenade', 'et', 'plage', 'à', '200', 'm');('Promenade', 'm');1
478;(('EG', 'ET'), ('nmod',));('Facs de lettres et de droit', 'à', '500', 'm');('Facs de lettres et de droit', 'm');1
479;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('pas', 'de', 'le', 'village', 'de', 'Valbonne');('pas', 'village', 'Valbonne');0
480;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'village');('pas', 'village');1
481;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'nmod'));('proche', 'de', 'le', 'Rond Point', 'de', 'le', 'Grande Bretagne');('proche', 'Rond Point', 'Grande Bretagne');0
482;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'Rond Point');('proche', 'Rond Point');1
483;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'l', 'accès');('Proche', 'accès');1
484;(('ET', 'EG', 'EG'), ('obl:arg', 'nmod'));('Proche', 'de', 'l', 'accès', 'à', 'l', 'autoroute');('Proche', 'accès', 'autoroute');0
485;(('ET', 'EG', 'EG'), ('obl:arg', 'appos'));('Proche', 'de', 'l', 'accès', 'à', 'l', 'autoroute', ',', 'bus');('Proche', 'accès', 'bus');0
486;(('TOPONYME', 'ET'), ('appos',));('Cannet', '(', 'proche');('Cannet', 'proche');0
487;(('EG', 'ADP', 'ET'), ('advmod', 'fixed'));('commerces', 'à', 'proximité');('commerces', 'à', 'proximité');1
488;(('ET', 'TOPONYME'), ('nmod',));('minutes', 'de', 'libération');('minutes', 'libération');1
489;(('ET', 'EG'), ('flat:name',));('Proche', 'commoditées');('Proche', 'commoditées');1
490;(('TOPONYME', 'NOUN', 'ET'), ('appos', 'nmod'));('Nice', 'Borriglione', '2', 'pcs', '48.08', 'm²', 'Proche');('Nice', 'm²', 'Proche');0
491;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'les', 'Musiciens');('coeur', 'quartier', 'Musiciens');0
492;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'les', 'Musiciens', 'à', 'Nice');('coeur', 'quartier', 'Nice');0
493;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'quartier');('coeur', 'quartier');1
494;(('ET', 'EG'), ('nmod',));('vue', 'sur', 'les', 'toits');('vue', 'toits');1
495;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'sur', 'les', 'toits', 'et', 'les', 'collines');('vue', 'toits', 'collines');1
496;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('proximité', 'immédiate', 'de', 'la', 'faculté', ',', 'et', 'face', 'à', 'les', 'futurs', 'jardins', 'de', 'Saint Jean d Angely');('proximité', 'jardins', 'Saint Jean d Angely');0
497;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'la', 'faculté');('proximité', 'faculté');1
498;(('ET', 'EG'), ('conj',));('proximité', 'immédiate', 'de', 'la', 'faculté', ',', 'et', 'face', 'à', 'les', 'futurs', 'jardins');('proximité', 'jardins');0
499;(('ET', 'EG', 'EG'), ('conj', 'amod'));('proximité', 'immédiate', 'de', 'la', 'faculté', ',', 'et', 'face', 'à', 'les', 'futurs', 'jardins');('proximité', 'jardins', 'futurs');0
500;(('TOPONYME', 'EG', 'ET'), ('appos', 'amod'));('Nice', 'ouest', 'proche', 'aéroport');('Nice', 'aéroport', 'proche');0
501;(('EG', 'ET'), ('amod',));('proche', 'aéroport');('aéroport', 'proche');1
502;(('ET', 'TOPONYME'), ('nmod',));('vue', 'mer', 'jusqu', 'à', 'le', 'Cap D Antibes');('vue', 'Cap D Antibes');1
503;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
504;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
505;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
506;(('ET', 'EG'), ('obj',));('proche', 'tout', 'commerces');('proche', 'commerces');1
507;(('ET', 'EG', 'EG'), ('obj', 'conj'));('proche', 'tout', 'commerces', 'et', 'commodités');('proche', 'commerces', 'commodités');1
508;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'mer');('mètres', 'mer');1
509;(('EG', 'NOUN', 'ET'), ('nmod', 'acl'));('MER', 'Place', 'parking', 'privative', 'proche');('MER', 'parking', 'proche');0
510;(('EG', 'EG', 'ET'), ('conj', 'nmod'));('commerces', 'et', 'commodités', 'à', '50', 'mètres');('commerces', 'commodités', 'mètres');1
511;(('EG', 'ET'), ('nmod',));('commodités', 'à', '50', 'mètres');('commodités', 'mètres');1
512;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('limite', 'de', 'le', 'quartier', 'de', 'les Vespins');('limite', 'quartier', 'les Vespins');0
513;(('ET', 'EG'), ('nmod',));('limite', 'de', 'le', 'quartier');('limite', 'quartier');1
514;(('ET', 'EG'), ('obl:arg',));('Proche', 'tous', 'commerces');('Proche', 'commerces');1
515;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'tous', 'commerces', 'et', 'commodités');('Proche', 'commerces', 'commodités');1
516;(('ET', 'EG'), ('nmod',));('vue', 'montagne');('vue', 'montagne');1
517;(('ET', 'ET', 'EG'), ('conj', 'flat:name'));('vue', 'montagne', 'et', 'aperçu', 'mer');('vue', 'aperçu', 'mer');0
518;(('ET', 'EG'), ('flat:name',));('aperçu', 'mer');('aperçu', 'mer');1
519;(('ET', 'EG', 'TOPONYME'), ('nmod', 'appos'));('angle', 'de', 'la', 'place', 'Masséna');('angle', 'place', 'Masséna');0
520;(('ET', 'EG', 'TOPONYME'), ('conj', 'nmod'));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade', 'de', 'le Paillon');('angle', 'promenade', 'le Paillon');0
521;(('ET', 'EG'), ('nmod',));('angle', 'de', 'la', 'place');('angle', 'place');1
522;(('ET', 'EG'), ('conj',));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade');('angle', 'promenade');1
523;(('ET', 'ET', 'EG'), ('conj', 'nmod'));('angle', 'de', 'la', 'place', 'Masséna', ',', 'de', 'la', 'promenade', 'de', 'le Paillon', 'et', 'à', 'proximité', 'immédiate', 'de', 'la', 'mer');('angle', 'proximité', 'mer');0
524;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'la', 'mer');('proximité', 'mer');1
525;(('ET', 'EG'), ('nmod',));('pas', 'de', 'la', 'croisette');('pas', 'croisette');1
526;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'la', 'croisette', 'et', 'de', 'les', 'plages');('pas', 'croisette', 'plages');1
527;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
528;(('TOPONYME', 'ET'), ('nmod',));('Croisette', 'et', 'la', 'plage', 'à', '150', 'mètres');('Croisette', 'mètres');1
529;(('TOPONYME', 'EG', 'ET'), ('conj', 'nmod'));('Croisette', 'et', 'la', 'plage', 'à', '150', 'mètres', ',', 'la', 'roseraie', 'de', 'le', 'Port', 'Canto', 'à', '500', 'mètres');('Croisette', 'roseraie', 'mètres');0
530;(('TOPONYME', 'TOPONYME', 'ET'), ('conj', 'nmod'));('Croisette', 'et', 'la', 'plage', 'à', '150', 'mètres', ',', 'la', 'roseraie', 'de', 'le', 'Port', 'Canto', 'à', '500', 'mètres', ',', 'le', 'palais de les festivals', 'à', '1,4', 'km');('Croisette', 'palais de les festivals', 'km');0
531;(('TOPONYME', 'ET'), ('nmod',));('palais de les festivals', 'à', '1,4', 'km');('palais de les festivals', 'km');1
532;(('EG', 'ET'), ('nmod',));('roseraie', 'de', 'le', 'Port', 'Canto', 'à', '500', 'mètres');('roseraie', 'mètres');1
533;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('début', 'de', 'la', 'rue', 'd', 'Antibes');('début', 'rue', 'Antibes');0
534;(('ET', 'ET', 'EG'), ('obl:arg', 'nmod'));('proche', 'de', 'le', 'début', 'de', 'la', 'rue');('proche', 'début', 'rue');1
535;(('ET', 'EG'), ('nmod',));('début', 'de', 'la', 'rue');('début', 'rue');1
536;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('début', 'de', 'la', 'rue', 'd', 'Antibes', ',', 'de', 'la', 'Croisette', 'et', 'de', 'tous', 'les', 'commerces');('début', 'rue', 'commerces');0
537;(('TOPONYME', 'ET'), ('amod',));('CANNES', 'Bas Californie', ',', 'adorable', '2', 'pièces', 'dans', 'résidence', 'de', 'standing', ',', 'proche');('CANNES', 'proche');0
538;(('TOPONYME', 'ET', 'ET'), ('amod', 'obl:arg'));('CANNES', 'Bas Californie', ',', 'adorable', '2', 'pièces', 'dans', 'résidence', 'de', 'standing', ',', 'proche', 'de', 'le', 'début');('CANNES', 'proche', 'début');0
539;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'carré d or');('coeur', 'carré d or');1
540;(('ET', 'EG'), ('nmod',));('pas', 'de', 'le', 'tramway');('pas', 'tramway');1
541;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'le', 'tramway', 'et', 'de', 'toutes', 'les', 'commodités');('pas', 'tramway', 'commodités');1
542;(('TOPONYME', 'ET'), ('nmod',));('Nice', 'Carré d Or', 'En', 'plein', 'coeur');('Nice', 'coeur');0
543;(('TOPONYME', 'ET'), ('nmod',));('Nice', 'Carré d Or', 'En', 'plein', 'coeur', 'de', 'le', 'carré d or', ',', 'à', 'deux', 'pas');('Nice', 'pas');0
544;(('ET', 'EG', 'TOPONYME'), ('appos', 'flat:name'));('proche', 'rond point', 'Grande Bretagne');('proche', 'rond point', 'Grande Bretagne');0
545;(('ET', 'EG'), ('appos',));('proche', 'rond point');('proche', 'rond point');1
546;(('ET', 'EG'), ('nmod',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
547;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('Proche', 'de', 'toutes', 'commodités', ':', 'bus');('Proche', 'commodités', 'bus');1
548;(('TOPONYME', 'ET'), ('appos',));('DANYS', 'Le Cannet', 'centre', ',', 'proche');('DANYS', 'proche');0
549;(('EG', 'ET'), ('root',));('Proche', 'de', 'toutes', 'commodités', ':', 'bus', 'ligne 4', 'à', '30', 'mètres', ',', 'collège', ',', 'commerces');('commerces', 'Proche');0
550;(('EG', 'EG', 'ET'), ('appos', 'nmod'));('commodités', ':', 'bus', 'ligne 4', 'à', '30', 'mètres');('commodités', 'bus', 'mètres');0
551;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'de', 'toutes', 'commodités', ':', 'bus', 'ligne 4', 'à', '30', 'mètres', ',', 'collège', ',', 'commerces');('bus', 'commerces', 'Proche');0
552;(('EG', 'ET'), ('nmod',));('bus', 'ligne 4', 'à', '30', 'mètres');('bus', 'mètres');1
553;(('ET', 'EG'), ('nmod',));('Proche', 'de', 'toutes', 'commodités');('Proche', 'commodités');1
554;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('Proche', 'de', 'toutes', 'commodités', ':', 'commerces');('Proche', 'commodités', 'commerces');0
555;(('EG', 'ET'), ('root',));('Proche', 'de', 'toutes', 'commodités', ':', 'commerces', ',', 'services publics');('services publics', 'Proche');0
556;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'de', 'toutes', 'commodités', ':', 'commerces', ',', 'services publics');('commerces', 'services publics', 'Proche');0
557;(('ET', 'EG'), ('nmod',));('pied', 'de', 'les', 'commodités');('pied', 'commodités');1
558;(('ET', 'EG'), ('nmod',));('pied', 'de', 'les', 'commodités');('pied', 'commodités');1
559;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pied', 'de', 'les', 'commodités', ',', 'de', 'la', 'mer');('pied', 'commodités', 'mer');1
560;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pied', 'de', 'les', 'commodités', ',', 'de', 'la', 'mer', ',', 'de', 'la', 'gare');('pied', 'commodités', 'gare');1
561;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pied', 'de', 'les', 'commodités', ',', 'de', 'la', 'mer', ',', 'de', 'la', 'gare', 'et', 'de', 'les', 'moyens de transport');('pied', 'commodités', 'moyens de transport');1
562;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
563;(('ET', 'EG'), ('nmod',));('pas', 'de', 'l', 'autoroute');('pas', 'autoroute');1
564;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('pas', 'de', 'l', 'autoroute', 'et', 'de', 'le', 'terminal');('pas', 'autoroute', 'terminal');1
565;(('ET', 'EG'), ('nmod',));('proximité', 'd', 'une', 'école primaire');('proximité', 'école primaire');1
566;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'd', 'une', 'école primaire', 'ainsi', 'que', 'd', 'arrêt de bus');('proximité', 'école primaire', 'arrêt de bus');1
567;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'commerces');('proximité', 'commerces');1
568;(('ET', 'EG'), ('nmod',));('Proche', 'de', 'tous', 'commerces');('Proche', 'commerces');1
569;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('Proche', 'de', 'tous', 'commerces', ',', 'Tram');('Proche', 'commerces', 'Tram');0
570;(('EG', 'ADP', 'ET'), ('case', 'fixed'));('à', 'proximité', 'Promenade');('Promenade', 'à', 'proximité');1
571;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
572;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('minutes', 'à', 'pied', 'de', 'le', 'centre ville');('minutes', 'pied', 'centre ville');1
573;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pied', 'de', 'le', 'centre ville', 'dans', 'un', 'environnement');('minutes', 'environnement');0
574;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
575;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'les', 'commodités');('proche', 'commodités');1
576;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'commerces');('proche', 'commodités', 'commerces');1
577;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'commerces', ',', 'mer');('proche', 'commodités', 'mer');1
578;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'commerces', ',', 'mer', ',', 'transports en commun');('proche', 'commodités', 'transports en commun');1
579;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('proche', 'de', 'toutes', 'les', 'commodités', ',', 'commerces', ',', 'mer', ',', 'transports en commun', ',', 'écoles');('proche', 'commodités', 'écoles');1
580;(('ET', 'EG'), ('nmod',));('vue', 'mer');('vue', 'mer');1
581;(('TOPONYME', 'ET'), ('amod',));('Menton', 'limitrophe', 'Roquebrune Cap Martin', ',', 'à', 'le', 'calme', ',', 'proche');('Menton', 'proche');0
582;(('ET', 'EG'), ('nmod',));('Proche', 'de', 'toutes', 'les', 'commodités');('Proche', 'commodités');1
583;(('ET', 'EG', 'EG'), ('nmod', 'appos'));('Proche', 'de', 'toutes', 'les', 'commodités', ',', 'bus');('Proche', 'commodités', 'bus');0
584;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('Proche', 'de', 'toutes', 'les', 'commodités', ',', 'bus', ',', 'tramway');('Proche', 'commodités', 'tramway');0
585;(('EG', 'EG', 'ET'), ('conj', 'nmod'));('commodités', ',', 'bus', ',', 'tramway', 'à', '100', 'mètres');('commodités', 'tramway', 'mètres');0
586;(('EG', 'ET'), ('nmod',));('tramway', 'à', '100', 'mètres');('tramway', 'mètres');1
587;(('ET', 'TOPONYME'), ('nmod',));('m', 'de', 'le', 'Palais de les festivals');('m', 'Palais de les festivals');1
588;(('TOPONYME', 'ET'), ('appos',));('CANNES', ',', '700', 'm');('CANNES', 'm');0
589;(('ET', 'EG', 'TOPONYME'), ('root', 'nmod'));('Plages', 'de', 'la Croisette', 'et', 'tous', 'les', 'commerces', 'à', 'moins', 'de', '200', 'mètres');('mètres', 'Plages', 'la Croisette');0
590;(('ET', 'EG'), ('root',));('Plages', 'de', 'la Croisette', 'et', 'tous', 'les', 'commerces', 'à', 'moins', 'de', '200', 'mètres');('mètres', 'Plages');1
591;(('ET', 'EG', 'EG'), ('root', 'conj'));('Plages', 'de', 'la Croisette', 'et', 'tous', 'les', 'commerces', 'à', 'moins', 'de', '200', 'mètres');('mètres', 'Plages', 'commerces');0
592;(('EG', 'ADV', 'ET'), ('nmod', 'dep:comp'));('commerces', 'à', 'moins', 'de', '200', 'mètres');('commerces', 'moins', 'mètres');1
593;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('mètres', 'de', 'la', 'rue', 'd', 'Antibes');('mètres', 'rue', 'Antibes');0
594;(('ET', 'EG'), ('nmod',));('mètres', 'de', 'la', 'rue');('mètres', 'rue');1
595;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('min', 'à', 'pied', 'de', 'les', 'plages');('min', 'pied', 'plages');1
596;(('ET', 'EG'), ('flat:name',));('aperçu', 'mer');('aperçu', 'mer');1
597;(('ET', 'EG'), ('appos',));('PROCHE', 'ECOLES');('PROCHE', 'ECOLES');1
598;(('ET', 'EG', 'EG'), ('appos', 'conj'));('PROCHE', 'ECOLES', ',', 'COMMERCES');('PROCHE', 'ECOLES', 'COMMERCES');1
599;(('ET', 'EG', 'EG'), ('appos', 'conj'));('PROCHE', 'ECOLES', ',', 'COMMERCES', ',', 'BUS TRAM');('PROCHE', 'ECOLES', 'BUS TRAM');1
600;(('ET', 'EG', 'EG'), ('appos', 'conj'));('PROCHE', 'ECOLES', ',', 'COMMERCES', ',', 'BUS TRAM', ',', 'ACCES AUTOROUTIERS');('PROCHE', 'ECOLES', 'ACCES AUTOROUTIERS');1
601;(('ET', 'EG', 'EG'), ('appos', 'conj'));('PROCHE', 'ECOLES', ',', 'COMMERCES', ',', 'BUS TRAM', ',', 'ACCES AUTOROUTIERS', ',', 'SOPHIA');('PROCHE', 'ECOLES', 'SOPHIA');1
602;(('ET', 'EG'), ('obl:arg',));('Proche', 'de', 'le', 'tramway');('Proche', 'tramway');1
603;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'de', 'le', 'tramway', 'et', 'de', 'les', 'commerces');('Proche', 'tramway', 'commerces');1
604;(('ET', 'EG'), ('obj',));('proche', 'libération');('proche', 'libération');1
605;(('ET', 'EG'), ('obj',));('Proche', 'Tramway');('Proche', 'Tramway');1
606;(('ET', 'EG', 'EG'), ('obj', 'conj'));('Proche', 'Tramway', 'et', 'commerces');('Proche', 'Tramway', 'commerces');1
607;(('TOPONYME', 'ET'), ('acl',));('Nice', 'Nord', ',', 'proche');('Nice', 'proche');0
608;(('ET', 'EG'), ('nmod',));('vue', 'dégagée', 'sur', 'ville');('vue', 'ville');1
609;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('vue', 'dégagée', 'sur', 'ville', 'et', 'montagnes');('vue', 'ville', 'montagnes');1
610;(('ET', 'EG', 'TOPONYME'), ('appos', 'flat:name'));('proche', 'Lycée', 'Carnot');('proche', 'Lycée', 'Carnot');0
611;(('ET', 'EG', 'TOPONYME'), ('obl:arg', 'nmod'));('proche', 'de', 'le', 'centre', 'de', 'Cannes');('proche', 'centre', 'Cannes');0
612;(('ET', 'EG'), ('appos',));('proche', 'Lycée');('proche', 'Lycée');1
613;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'le', 'centre');('proche', 'centre');1
614;(('TOPONYME', 'ET'), ('conj',));('CANNES', 'CENTRE', ',', 'Rue', 'Auguste Pardon', ',', 'proche');('CANNES', 'proche');0
615;(('TOPONYME', 'ET'), ('conj',));('CANNES', 'CENTRE', ',', 'Rue', 'Auguste Pardon', ',', 'proche', 'Lycée', 'Carnot', ',', 'proche');('CANNES', 'proche');0
616;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('minutes', 'à', 'pieds', 'de', 'le', 'centre ville', 'de', 'Mouans Sartoux');('minutes', 'centre ville', 'Mouans Sartoux');0
617;(('ET', 'EG'), ('nmod',));('minutes', 'à', 'pieds', 'de', 'le', 'centre ville');('minutes', 'centre ville');1
618;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'le', 'centre');('proximité', 'centre');1
619;(('ET', 'EG', 'EG'), ('obl:arg', 'conj'));('Proche', 'tous', 'commerces', 'et', 'transports');('Proche', 'commerces', 'transports');1
620;(('ET', 'EG'), ('obl:arg',));('Proche', 'tous', 'commerces');('Proche', 'commerces');1
621;(('TOPONYME', 'ET'), ('amod',));('Cessole', 'proche');('Cessole', 'proche');1
622;(('EG', 'ET'), ('root',));('Proche', 'tous', 'commerces', 'et', 'transports');('transports', 'Proche');0
623;(('EG', 'EG', 'ET'), ('conj', 'root'));('Proche', 'tous', 'commerces', 'et', 'transports');('commerces', 'transports', 'Proche');0
624;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('min', 'de', 'le', 'centre ville', 'de', 'Nice');('min', 'centre ville', 'Nice');0
625;(('ET', 'EG'), ('appos',));('vue', 'mer');('vue', 'mer');1
626;(('ET', 'EG'), ('nmod',));('min', 'de', 'le', 'centre ville');('min', 'centre ville');1
627;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('min', 'de', 'le', 'centre ville', 'de', 'Nice', ',', 'de', 'la', 'mer');('min', 'centre ville', 'mer');1
628;(('EG', 'ET'), ('nmod',));('hauteurs', 'de', 'Nice', 'avec', 'magnifique', 'vue');('hauteurs', 'vue');0
629;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'de', 'la', 'Croisette');('proximité', 'Croisette');1
630;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals');('proximité', 'Croisette', 'Palais de les Festivals');1
631;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals', 'et', 'de', 'la', 'Gare');('proximité', 'Croisette', 'Gare');1
632;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'de', 'la', 'Croisette');('proximité', 'Croisette');1
633;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals');('proximité', 'Croisette', 'Palais de les Festivals');1
634;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals', 'et', 'de', 'la', 'Gare');('proximité', 'Croisette', 'Gare');1
635;(('ET', 'TOPONYME'), ('nmod',));('proximité', 'de', 'la', 'Croisette');('proximité', 'Croisette');1
636;(('ET', 'TOPONYME', 'TOPONYME'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals');('proximité', 'Croisette', 'Palais de les Festivals');1
637;(('ET', 'TOPONYME', 'EG'), ('nmod', 'conj'));('proximité', 'de', 'la', 'Croisette', ',', 'de', 'le', 'Palais de les Festivals', 'et', 'de', 'la', 'Gare');('proximité', 'Croisette', 'Gare');1
638;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
639;(('EG', 'NOUN', 'ET'), ('appos', 'amod'));('quartier', 'de', 'la', 'République', ',', 'charmant', 'studio', 'de', '20', 'm²', 'proche');('quartier', 'studio', 'proche');0
640;(('ET', 'MD', 'EG'), ('nmod', 'nmod'));('Min', 'en', 'voiture', 'de', 'la', 'ville');('Min', 'voiture', 'ville');1
641;(('ET', 'TOPONYME'), ('obl:arg',));('proche', 'de', 'la', 'Palestre');('proche', 'Palestre');1
642;(('ET', 'TOPONYME', 'TOPONYME'), ('obl:arg', 'nmod'));('proche', 'de', 'la', 'Palestre', 'de', 'le Cannet');('proche', 'Palestre', 'le Cannet');1
643;(('ET', 'ET', 'EG'), ('conj', 'appos'));('vue', 'sur', 'le', 'parc', 'et', '.', 'un', 'très', 'joli', 'aperçu', 'mer');('vue', 'aperçu', 'mer');0
644;(('ET', 'EG'), ('appos',));('aperçu', 'mer');('aperçu', 'mer');1
645;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'tous', 'commerces');('proximité', 'commerces');1
646;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'tous', 'commerces');('proximité', 'commerces');1
647;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'tous', 'commerces');('proximité', 'commerces');1
648;(('ET', 'EG'), ('obl:arg',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
649;(('EG', 'ET'), ('amod',));('quartier', 'proche');('quartier', 'proche');1
650;(('ET', 'EG'), ('nmod',));('proche', 'de', 'toutes', 'commodités');('proche', 'commodités');1
651;(('EG', 'NOUN', 'ET'), ('root', 'conj'));('Cuisine', 'aménagée', 'et', 'salle', 'd', 'eau', 'moderne', ',', 'cave', ',', 'proche', 'de', 'toutes', 'commodités');('commodités', 'Cuisine', 'proche');0
652;(('ET', 'TOPONYME'), ('nmod',));('coeur', 'de', 'le', 'vieux nice');('coeur', 'vieux nice');1
653;(('TOPONYME', 'ET'), ('nmod',));('cours Saleya', 'à', '50', 'mètres');('cours Saleya', 'mètres');1
654;(('ET', 'EG', 'TOPONYME'), ('nmod', 'nmod'));('coeur', 'de', 'le', 'quartier', 'de', 'la', 'Libération');('coeur', 'quartier', 'Libération');0
655;(('ET', 'EG'), ('nmod',));('coeur', 'de', 'le', 'quartier');('coeur', 'quartier');1
656;(('ET', 'EG'), ('nmod',));('proximité', 'immédiate', 'de', 'les', 'plages');('proximité', 'plages');1
657;(('ET', 'EG', 'EG'), ('nmod', 'conj'));('proximité', 'immédiate', 'de', 'les', 'plages', ',', 'port', ',', 'gare', 'et', 'commerces');('proximité', 'plages', 'commerces');1
658;(('ET', 'EG'), ('nmod',));('vue', 'montagne');('vue', 'montagne');1
659;(('TOPONYME', 'NOUN', 'ET'), ('appos', 'nmod'));('BEAULIEU SUR MER', ':', 'Appartement', '4', '5', 'pièces', 'de', '88', 'm²', 'dans', 'un', 'immeuble', 'bourgeois', 'à', 'proximité');('BEAULIEU SUR MER', 'Appartement', 'proximité');0
